BLDG_USAGE,NAME,BLDG_CODE,PRIMARY_ADDRESS,POSTAL_CODE,BLDG_UID,CONSTR_STATUS,LAT,LONG
Academic,AERL (Aquatic Ecosystems Research Laboratory),AERL,2202 Main Mall,V6T 1Z4,VBL10087,Complete,49.26376,-123.250977
Operations,Campus Energy Centre,CEC,6130 Agronomy Road,V6T 1Z3,VBL10339,Complete,49.261648,-123.245083
Academic,CIRS (Centre for Interactive Research on Sustainability),CIRS,2260 West Mall,V6T 1Z4,VBL10162,Complete,49.262051,-123.25308
Other,Chapel of the Epiphany,CHPL,6030 Chancellor Boulevard,V6T 1X3,VBL10392,Complete,49.271559,-123.252272
Services,Djavad Mowafaghian Centre for Brain Health,CBH,2215 Wesbrook Mall,V6T 1Z3,VBL10103,Complete,49.264275,-123.244569
Academic,Earth and Ocean Sciences,EOS,6339 Stores Road,V6T 1Z4,VBL10001,Complete,49.26251,-123.25249
Academic,Earth Sciences Building,ESB,2207 Main Mall,V6T 1Z4,VBL10072,Complete,49.263067,-123.252188
Academic,Engineering Student Centre,ESC,2335 Engineering Road,V6T 1Z4,VBL10073,Complete,49.262188,-123.249278
Academic,Institute for Computing Information and Cognitive Systems / Computer Science Building,ICCS,2366 Main Mall,V6T 1Z4,VBL10078,Complete,49.261174,-123.248832
Academic,West Mall Annex,WMAX,1933 West Mall,V6T 1Z2,VBL10283,Complete,49.26625,-123.257156
Housing,Keenleyside,KEEN,5788 Birney Avenue,V6S 0A2,VBL10040,Complete,49.253967,-123.233169
Academic,Buchanan Tower,BUTO,1873 East Mall,V6T 1Z1,VBL10324,Complete,49.268579,-123.253487
Academic,Jack Bell Building for the School of Social Work,SOWK,2080 West Mall,V6T 1Z2,VBL10081,Complete,49.264462,-123.255094
Services,Berwick Child Development Centre,BERW,2765 Osoyoos Crescent,V6T 1X7,VBL10155,Complete,49.260588,-123.238932
Housing,Echo,ECHO,5728 Gray Avenue,V6S 0M4,VBL10443,Complete,49.2525,-123.232318
Academic,Horticulture Building,HORT,6394 Stores Road,V6T 1Z4,VBL10362,Complete,49.261402,-123.252773
Academic,Library PARC@UBC,PARC,6049 Nurseries Road,V6T 1W5,VBL10351,Complete,49.245082,-123.229708
Academic,JB Macdonald Building,MCDN,2199 Wesbrook Mall,V6T 1Z3,VBL10366,Complete,49.265345,-123.24533
Housing,Evolve,EVLV,3518 Wesbrook Mall,V6T 1W5,VBL10422,Complete,49.252346,-123.233236
Services,UBC Botanical Garden - Admin/Campbell Building,BOT2,"6804 SW Marine Drive, Building 3",V6T 1Z4,VBL10006,Complete,49.253896,-123.251116
Services,UBC Botanical Garden - Alpine Garden Greenhouse,BOT8,"6804 SW Marine Drive, Building 6",V6T 1Z4,VBL10431,Complete,49.253645,-123.245842
Services,UBC Botanical Garden - Garden Pavilion,BOT4,"6804 SW Marine Drive, Building 5",V6T 1Z4,VBL10003,Complete,49.25326,-123.247116
Services,UBC Botanical Garden - Reception Centre,BOT3,"6804 SW Marine Drive, Building 2",V6T 1Z4,VBL10008,Complete,49.254155,-123.251275
Housing,Cypress House,CYPR,5988 Gray Avenue,V6S 0K4,VBL10322,Complete,49.25194,-123.23469
Housing,Pine House,PINE,3588 Ross Drive,V6S 0K3,VBL10321,Complete,49.251443,-123.234274
Services,UBC Botanical Garden - Scholar's Retreat,BOT5,6380 Stadium Road,V6T 1Z4,VBL10004,Complete,49.254985,-123.24692
Services,UBC Botanical Garden - Shop/Gatehouse Entrance,BOT1,"6804 SW Marine Drive, Building 1",V6T 1Z4,VBL10419,Complete,49.254038,-123.250549
Services,UBC Botanical Garden - Ting Lookout,BOT7,"6804 SW Marine Drive, Building 4",V6T 1Z4,VBL10007,Complete,49.254091,-123.25166
Housing,Cascara House,CSCA,6385 Hawthorn Lane,V6T 0C1,VBL10347,Complete,49.258468,-123.249667
Housing,Gardenia House,GARD,6309 Larkin Drive,V6T 0C2,VBL10224,Complete,49.25873,-123.248967
Operations,UBC Botanical Garden - Workshop (Trailer),BOT6,6450 Stadium Road,V6T 1Z4,VBL10005,Complete,49.254769,-123.24764
Operations,UBC Farm - Children's Greenhouse,FRM3,"3461 Ross Drive, Building 2",V6T 1W5,VBL10015,Complete,49.251477,-123.239793
Housing,Magnolia House,MAGN,3565 Wesbrook Mall,V6S 0H1,VBL10191,Complete,49.251541,-123.233539
Operations,UBC Farm - Greenhouse 1,FRM4,"3461 Ross Drive, Building 3",V6T 1W5,VBL10009,Complete,49.251148,-123.238931
Commons,Brock Commons South,BRCS,6180 Walter Gage Road,V6T 1K2,VBL10424,Complete,49.26907,-123.252352
Operations,UBC Farm - Greenhouse 2,FRM5,"3461 Ross Drive, Building 4",V6T 1W5,VBL10012,Complete,49.251043,-123.239002
StudentHousing,Place Vanier Residence - Margaret Mackenzie House,VNR07,"1935 Lower Mall, Building 12",V6T 1X1,VBL10326,Complete,49.265692,-123.259143
StudentHousing,Place Vanier Residence - Phyllis Ross House,VNR09,"1935 Lower Mall, Building 11",V6T 1X1,VBL10368,Complete,49.265329,-123.259614
StudentHousing,Place Vanier Residence - Aldyen Hamber House,VNR01,"1935 Lower Mall, Building 13",V6T 1X1,VBL10325,Complete,49.265266,-123.258795
StudentHousing,Place Vanier Residence - Dorothy Mawdsley House,VNR04,"1935 Lower Mall, Building 10",V6T 1X1,VBL10267,Complete,49.264868,-123.259505
Other,University Hill Secondary School,UHIL,3228 Ross Drive,V6S 0C6,VBL10242,Complete,49.254268,-123.238731
StudentHousing,Place Vanier Residence - Korea House,VNR06,"1935 Lower Mall, Building 9",V6T 1X1,VBL10269,Complete,49.264613,-123.26001
StudentHousing,Place Vanier Residence - Tec De Monterrey House,VNR12,"1935 Lower Mall, Building 8",V6T 1X1,VBL10367,Complete,49.264041,-123.259538
StudentHousing,Place Vanier Residence - Cariboo House,VNR02,"1935 Lower Mall, Building 6",V6T 1X1,VBL10360,Complete,49.263743,-123.258968
Academic,Landscape Architecture Annex,LAX,2371 Main Mall,V6T 1Z4,VBL10377,Complete,49.260657,-123.250061
StudentHousing,Place Vanier Residence - Kootenay House,VNR05,"1935 Lower Mall, Building 3",V6T 1X1,VBL10268,Complete,49.263879,-123.257632
StudentHousing,Place Vanier Residence - Robson House,VNR10,"1935 Lower Mall, Building 7",V6T 1X1,VBL10358,Complete,49.263907,-123.258426
Services,UBC Hospital - Detwiller Pavilion,DPAV,2255 Wesbrook Mall,V6T 2A1,VBL10334,Complete,49.26356,-123.244471
Services,UBC Hospital - Koerner Pavilion,KPAV,2211 Wesbrook Mall,V6T 2B5,VBL10318,Complete,49.264151,-123.245991
Research,TRIUMF - Trailer RR,TRF26,"4004 Wesbrook Mall, Building 16",V6T 2A3,VBL10057,Complete,49.247137,-123.230834
StudentHousing,Walter H. Gage Residence - East Tower,WGR4,"5959 Student Union Boulevard, Building 3",V6T 1K2,VBL10393,Complete,49.269645,-123.249158
Housing,TRIUMF House,TRFH,5835 Thunderbird Boulevard,V6T 2L6,VBL10320,Complete,49.262025,-123.241171
Research,TRIUMF - Trailer Q,TRF25,"4004 Wesbrook Mall, Building 19",V6T 2A3,VBL10056,Complete,49.24682,-123.23062
Research,TRIUMF - Trailer PP,TRF24,"4004 Wesbrook Mall, Building 25",V6T 2A3,VBL10053,Complete,49.246359,-123.229145
Academic,UBC Farm - Yurt,YURT,3465 Ross Drive,V6T 1W5,VBL10391,Complete,49.25126,-123.239913
Research,TRIUMF - Trailer LL,TRF22,"4004 Wesbrook Mall, Building 17",V6T 2A3,VBL10050,Complete,49.246893,-123.230972
Research,TRIUMF - Trailer HH & FF,TRF21,"4004 Wesbrook Mall, Building 3",V6T 2A3,VBL10049,Complete,49.248316,-123.230643
StudentHousing,Place Vanier Residence - Okanagan House,VNR08,"1935 Lower Mall, Building 2",V6T 1X1,VBL10270,Complete,49.264345,-123.257764
Operations,Lower Mall Header House,LMHH,2331 Lower Mall,V6T 1Z4,VBL10097,Complete,49.260535,-123.254838
Research,TRIUMF - Trailer GG,TRF20,"4004 Wesbrook Mall, Building 26",V6T 2A3,VBL10063,Complete,49.246197,-123.229348
Academic,George Cunningham Building,CUNN,2146 East Mall,V6T 1Z3,VBL10039,Complete,49.264787,-123.248732
Research,TRIUMF - Trailer A,TRF18,"4004 Wesbrook Mall, Building 21",V6T 2A3,VBL10038,Complete,49.246586,-123.230325
Academic,Hebb Building,HEBB,2045 East Mall,V6T 1Z1,VBL10047,Complete,49.266129,-123.251663
Academic,HR MacMillan Building,MCML,2357 Main Mall,V6T 1Z4,VBL10060,Complete,49.261066,-123.250746
Research,TRIUMF - Shipping/Workshop,TRF28,6095 Nurseries Road,V6T 2A3,VBL10059,Complete,49.246246,-123.230068
Research,TRIUMF - Plant Storage,TRF15,"4004 Wesbrook Mall, Building 27",V6T 2A3,VBL10035,Complete,49.246011,-123.22963
Research,"TRIUMF - Offices, Laboratory & Workshops",TRF14,4004 Wesbrook Mall,V6T 2A3,VBL10132,Complete,49.247655,-123.230598
Research,TRIUMF - Nina Storage Shelter,TRF13,"4004 Wesbrook Mall, Building 23",V6T 2A3,VBL10034,Complete,49.246,-123.230435
Research,TRIUMF - Machine Shop Materials,TRF12,"4004 Wesbrook Mall, Building 24",V6T 2A3,VBL10061,Complete,49.246383,-123.22983
Research,TRIUMF - Liquid Helium Storage,TRF11,"4004 Wesbrook Mall, Building 18",V6T 2A3,VBL10033,Complete,49.246923,-123.230786
Academic,Coal and Mineral Processing Laboratory,MINL,2332 West Mall,V6T 1Z4,VBL10068,Complete,49.261169,-123.252039
Research,TRIUMF - ISAC 2,TRF10,"4004 Wesbrook Mall, Building 5",V6T 2A3,VBL10032,Complete,49.248293,-123.2294
Research,TRIUMF - ISAC 1,TRF09,"4004 Wesbrook Mall, Building 6",V6T 2A3,VBL10031,Complete,49.247869,-123.229483
Research,TRIUMF - Institute of Advanced Medical Isotopes (IAMI),TRF29,"4004 Wesbrook Mall, Building 28",V6T 2A3,VBL10425,Complete,49.246796,-123.228275
Research,TRIUMF - Hazardous Storage,TRF08,"4004 Wesbrook Mall, Building 13",V6T 2A3,VBL10030,Complete,49.246732,-123.229328
Academic,"Food, Nutrition and Health Building",FNH,2205 East Mall,V6T 1Z4,VBL10082,Complete,49.264014,-123.249744
Academic,Continuing Studies Building,CSB,2121 West Mall,V6T 1Z4,VBL10083,Complete,49.263338,-123.255014
Academic,Biomedical Research Centre,BRC,2222 Health Sciences Mall,V6T 1Z3,VBL10084,Complete,49.264116,-123.247194
Research,TRIUMF - Equipment Marque,TRF06,"4004 Wesbrook Mall, Building 20",V6T 2A3,VBL10028,Complete,49.246738,-123.230714
Academic,Chan Gunn Pavilion,GUNN,2553 Wesbrook Mall,V6T 1Z3,VBL10092,Complete,49.260939,-123.241655
Research,TRIUMF - Badge Room,TRF04,"4004 Wesbrook Mall, Building 2",V6T 2A3,VBL10026,Complete,49.247498,-123.230295
Research,TRIUMF - ARIEL,TRF01,"4004 Wesbrook Mall, Building 4",V6T 2A3,VBL10025,Complete,49.247701,-123.229976
Academic,Indian Residential School History and Dialogue Centre (IRSHDC),IRSC,1985 Learners' Walk,V6T 1Z1,VBL10109,Complete,49.266994,-123.253741
Academic,Pharmaceutical Sciences Building,PHRM,2405 Wesbrook Mall,V6T 1Z3,VBL10110,Complete,49.262279,-123.243346
Research,TRIUMF - Accelerator,TRF02,"4004 Wesbrook Mall, Building 7",V6T 2A3,VBL10022,Complete,49.247272,-123.229286
Academic,Medical Sciences Block C,MEDC,2176 Health Sciences Mall,V6T 1Z3,VBL10094,Complete,49.264969,-123.247871
Services,UBC Hospital - Purdy Pavilion,PPAV,2221 Wesbrook Mall,V6T 1Z9,VBL10388,Complete,49.263267,-123.245953
Administrative,Gerald McGavin Building,GMCG,2386 East Mall,V6T 1Z3,VBL10043,Complete,49.261791,-123.246762
Academic,Friedman Building,FRDM,2177 Wesbrook Mall,V6T 1Z3,VBL10120,Complete,49.265368,-123.246237
Academic,Douglas T. Kenny Building,KENN,2136 West Mall,V6T 1Z4,VBL10131,Complete,49.263332,-123.253859
Housing,Focal,FOCL,6111 University Boulevard,V6T 0C7,VBL10232,Complete,49.266181,-123.248432
Administrative,Donald Rix Building,RIX,2389 Health Sciences Mall,V6T 1Z3,VBL10129,Complete,49.261972,-123.2463
Academic,Liu Institute for Global Issues,LIU,6476 NW Marine Drive,V6T 1Z2,VBL10177,Complete,49.267549,-123.259267
Academic,Anthropology and Sociology Building,ANSO,6303 NW Marine Drive,V6T 1Z1,VBL10204,Complete,49.270316,-123.257691
Academic,Asian Centre,ACEN,1871 West Mall,V6T 1Z2,VBL10227,Complete,49.266752,-123.25871
Athletics,Recreation Centre North,RCN,6140 Student Union Boulevard,V6T 1Z1,VBL10441,Complete,49.267999,-123.250396
Academic,Sauder Expansion,SBUS,2046 West Mall,V6T 1Z2,VBL10456,UnderConstruction,49.265093,-123.254889
Services,Orchard Commons - Childcare,ORCC,2378 West Mall,V6T 1Z4,VBL10458,UnderConstruction,49.260376,-123.252031
Housing,Symphony,SYMY,3638 Wesbrook Mall,V6S 0M9,VBL10454,Complete,49.251114,-123.232337
Academic,Wesbrook Building,WESB,6174 University Boulevard,V6T 1Z3,VBL10266,Complete,49.265251,-123.249156
Services,Child Care Services - Little Goslings/Coho,CCS3,5590 Osoyoos Crescent,V6T 2E6,VBL10274,Complete,49.25992,-123.234048
Services,Child Care Services - Little Raven/Pacific Spirit,CCS4,5580 Osoyoos Crescent,V6T 2E6,VBL10275,Complete,49.260216,-123.233802
Services,Child Care Services - Sandpiper/Auklet,CCS5,5615 Osoyoos Crescent,V6T 1S1,VBL10276,Complete,49.26026,-123.234743
Services,Child Care Services - Summer of 73/Lilliput,CCS7,5690 Osoyoos Crescent,V6T 2E6,VBL10141,Complete,49.25945,-123.23547
Operations,Environmental Services Facility - Solvent Storage Area,ENV6,"6025 Nurseries Road, Building 3",V6T 1W5,VBL10413,Complete,49.243731,-123.228605
Operations,Environmental Services Facility - Natural Gas Station,ENV3,"6025 Nurseries Road, Building 7",V6T 1W5,VBL10408,Complete,49.24362,-123.228203
Operations,Environmental Services Facility - PCB Equipment Storage,ENV5,"6025 Nurseries Road, Building 4",V6T 1W5,VBL10406,Complete,49.243362,-123.228049
Operations,Environmental Services Facility - Lab,ENV1,"6025 Nurseries Road, Building 5",V6T 1W5,VBL10401,Complete,49.243333,-123.228656
Operations,Environmental Services Facility - Office,ENV4,"6025 Nurseries Road, Building 1",V6T 1W5,VBL10400,Complete,49.243471,-123.228986
Housing,Coast - Apartment East,COSE,6063 Iona Drive,V6T 0B1,VBL10300,Complete,49.271045,-123.252555
Housing,Thames Court - Townhouses,THAC2,5880 Hampton Place,V6T 2E9,VBL10253,Complete,49.257073,-123.236162
Services,Old Auditorium,AUDI,6344 Memorial Road,V6T 1Z2,VBL10335,Complete,49.266903,-123.256099
Academic,Mary Bollert Hall,MBOL,6253 NW Marine Drive,V6T 1Z1,VBL10201,Complete,49.270579,-123.256017
Academic,B.C. Binning Studios,BINN,6373 University Boulevard,V6T 1Z2,VBL10134,Complete,49.264604,-123.254879
Academic,UBC Life Building,LIFE,6138 Student Union Boulevard,V6T 1Z1,VBL10248,Complete,49.267434,-123.250062
Academic,Centre for Comparative Medicine,CCM,4145 Wesbrook Mall,V6T 1W5,VBL10017,Complete,49.246819,-123.233554
